aero_motif_idx,eeg_motif_idx,spectral_dist,dtw_dist,wasserstein_dist
11,3,0.0,0.0,4.457319210182664e-06
11,4,0.0,0.0,3.830148508721098e-06
11,5,0.0,0.0,3.3772698656453494e-06
11,6,0.0,0.0,6.242338756679011e-06
11,7,0.0,0.0,2.2239123060097125e-06
11,8,0.0,0.0,3.818259782606414e-06
11,9,0.0,0.0,4.781270859199882e-06
11,10,0.0,0.0,5.723885928798911e-06
11,11,0.0,0.0,4.951366055694352e-06
11,12,0.0,0.0,6.2208170069189e-06
11,13,0.0,0.0,2.3503606217278873e-06
11,14,0.0,0.0,3.903051581299887e-06
11,15,0.0,0.0,4.0611150397107386e-06
11,16,0.0,0.0,6.173676068921274e-06
11,17,0.0,0.0,2.4451557633198283e-06
11,18,0.0,0.0,1.8462714438616249e-06
12,0,0.40216567008953835,2.6794710600388987,0.2679400278004793
12,1,0.07471196387777704,0.6544006378818866,0.06543316534491862
12,2,0.0,0.10480743735499887,0.010478069531904355
12,3,0.0,0.0,8.938149570969501e-06
12,4,0.0,0.0,4.0509071766781086e-06
12,5,0.0,0.0,4.338987600327471e-06
12,6,0.0,0.0,1.5382481546755146e-06
12,7,0.0,0.0,6.256241832092169e-06
12,8,0.0,0.0,8.178960841009885e-06
12,9,0.0,0.0,6.134845174432523e-06
12,10,0.0,0.0,4.8820652226333465e-06
12,11,0.0,0.0,4.866918270440834e-06
12,12,0.0,0.0,4.781596997960325e-06
12,13,0.0,0.0,3.999033994861456e-06
12,14,0.0,0.0,2.807011767369527e-06
12,15,0.0,0.0,3.954263948768854e-06
12,16,0.0,0.0,4.626783701577874e-06
12,17,0.0,0.0,3.410200225706372e-06
12,18,0.0,0.0,3.943197860356573e-06
13,0,0.40216567008953835,2.6794710600388987,0.2679425482053267
13,1,0.07471196387777704,0.6544006378818866,0.06542988561811663
13,2,0.0,0.10480743735499887,0.010473548788726018
13,3,0.0,0.0,6.234089815082555e-06
13,4,0.0,0.0,3.570628898585948e-06
13,5,0.0,0.0,3.363774611131464e-06
13,6,0.0,0.0,3.034385601330403e-06
13,7,0.0,0.0,8.965196023480449e-06
13,8,0.0,0.0,5.839580928446164e-06
13,9,0.0,0.0,6.316162649355749e-06
13,10,0.0,0.0,3.312455276105464e-06
13,11,0.0,0.0,6.243467032884808e-06
13,12,0.0,0.0,2.73446938983124e-06
13,13,0.0,0.0,3.6915931360348436e-06
13,14,0.0,0.0,3.3581307908203677e-06
13,15,0.0,0.0,7.941119874410597e-06
13,16,0.0,0.0,3.1343245672443843e-06
